Province or territory	Province ou territoire 	Population	Electors on the lists - Électeurs figurant sur les listes 	Stationary ordinary polling stations - Bureaux ordinaires de scrutin fixes 	Mobile ordinary polling stations - Bureaux ordinaires de scrutin itinérants 	Advance polls - Bureaux de vote par anticipation 	Total polling stations - Total des bureaux de scrutin 	
Newfoundland	Terre-Neuve	551792	405210	1301	16	87	1404	
Prince Edward Island	Île-du-Prince-Édouard	134557	103034	299	9	16	324	
Nova Scotia	Nouvelle-Écosse	909282	694984	2057	24	134	2215	
New Brunswick	Nouveau-Brunswick	738133	571569	1628	49	113	1790	
Quebec	Québec	7138795	5542169	14314	214	751	15279	
Ontario	Ontario	10753573	7713744	20393	238	990	21621	
Manitoba	Manitoba	1113898	786309	2246	42	131	2419	
Saskatchewan	Saskatchewan	990237	698145	2105	40	150	2295	
Alberta	Alberta	2696826	2094001	5290	121	279	5690	
British Columbia	Colombie-Britannique	3724500	2574322	6992	129	346	7467	
Yukon Territory	Territoire du Yukon	30766	20901	71	1	14	86	
Northwest Territories	Territoires du Nord-Ouest	24730	24716	85	0	7	92	
Nunavut	Nunavut	39672	14369	41	0	5	46	
