Number of candidates in the following percentage groups/0-14.9 - Nombre de candidats ayant recueilli le pourcentage de votes suivant/0-14.9	Number of candidates in the following percentage groups/15-19.9 - Nombre de candidats ayant recueilli le pourcentage de votes suivant/15-19.9 	Number of candidates in the following percentage groups/20-29.9 - Nombre de candidats ayant recueilli le pourcentage de votes suivant/20-29.9	Number of candidates in the following percentage groups/30-39.9 - Nombre de candidats ayant recueilli le pourcentage de votes suivant 30-39.9	Number of candidates in the following percentage groups/40 or more - Nombre de candidats ayant recueilli le pourcentage de votes suivant - 40 et plus	Total	Political affiliation 	Appartenance politique 
6	1	8	17	43	75	Bloc Québécois	Bloc Québécois
70	0	0	0	0	70	Canadian Action Party	Parti action canadienne
116	31	50	34	67	298	Canadian Reform Conservative Alliance	l'Alliance réformiste conservatrice canadienne
52	0	0	0	0	52	Communist Party of Canada	Parti communiste du Canada
111	0	0	0	0	111	The Green Party of Canada	Le Parti Vert du Canada
13	19	38	62	169	301	Liberal Party of Canada	Parti libéral du Canada
73	0	0	0	0	73	Marijuana Party	Parti Marijuana
84	0	0	0	0	84	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada
69	0	0	0	0	69	Natural Law Party of Canada	Parti de la loi naturelle du Canada
241	19	19	8	11	298	New Democratic Party	Nouveau Parti Démocratique
204	42	24	11	10	291	Progressive Conservative Party of Canada	Parti progressiste- conservateur du Canada
29	0	0	0	0	29	Independent	Indépendant
55	0	1	0	1	57	No Affiliation	Aucune appartenance
