Province or territory	Province ou territoire 	Electoral district 	Circonscription 	Population	Electors on the lists - Électeurs figurant sur les listes 	Number of polling stations - Nombre de bureaux ordinaires 	No. Valid ballots - Nombre de Bulletins valides 	Rejected ballots - Bulletins rejetés	Total ballots cast - Total des bulletins déposés	Given name - Prénom	Family name - Nom de famille	Political affiliation 	Appartenance politique 	Percentage of voter turnout - Participation électorale % 	Middle name(s) - Autre(s) prénom(s) 	% Valid ballots - Bulletins valides %	% Rejected ballots - Bulletins rejetés %
Newfoundland	Terre-Neuve	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	91865	67199	279	40629	500	41129	Brian	Tobin	Lib.	Lib.	61.2		98.8	1.2
Newfoundland	Terre-Neuve	Burin--St. George's	Burin--St. George's	75001	53526	221	30727	341	31068	Bill	Matthews	Lib.	Lib.	58		98.9	1.1
Newfoundland	Terre-Neuve	Gander--Grand Falls	Gander--Grand Falls	78550	57014	184	28853	118	28971	George	Baker	Lib.	Lib.	50.8		99.6	0.4
Newfoundland	Terre-Neuve	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	75347	54745	193	31744	117	31861	Gerry	Byrne	Lib.	Lib.	58.2		99.6	0.4
Newfoundland	Terre-Neuve	Labrador	Labrador	29190	19654	75	10368	57	10425	Lawrence	O'Brien	Lib.	Lib.	53		99.5	0.5
Newfoundland	Terre-Neuve	St. John's East	St. John's-Est	101266	77449	223	44356	202	44558	Norman	Doyle	P.C.	P.-C.	57.5	E.	99.5	0.5
Newfoundland	Terre-Neuve	St. John's West	St. John's-Ouest	100573	75623	229	42821	345	43166	Loyola	Hearn	P.C.	P.-C.	57.1		99.2	0.8
Prince Edward Island	Île-du-Prince-Édouard	Cardigan	Cardigan	30561	22556	73	17779	85	17864	Lawrence	MacAulay	Lib.	Lib.	79.2		99.5	0.5
Prince Edward Island	Île-du-Prince-Édouard	Egmont	Egmont	35282	25500	86	18434	131	18565	Joe	McGuire	Lib.	Lib.	72.8		99.3	0.7
Prince Edward Island	Île-du-Prince-Édouard	Hillsborough	Hillsborough	35284	29617	91	19799	96	19895	Shawn	Murphy	Lib.	Lib.	67.2		99.5	0.5
Prince Edward Island	Île-du-Prince-Édouard	Malpeque	Malpeque	33430	25361	74	18452	112	18564	Wayne	Easter	Lib.	Lib.	73.2		99.4	0.6
Nova Scotia	Nouvelle-Écosse	Bras d'Or--Cape Breton	Bras d'Or--Cape Breton	76677	56074	186	37949	321	38270	Rodger	Cuzner	Lib.	Lib.	68.2		99.2	0.8
Nova Scotia	Nouvelle-Écosse	Cumberland--Colchester	Cumberland--Colchester	83066	62180	209	38597	145	38742	Bill	Casey	P.C.	P.-C.	62.3		99.6	0.4
Nova Scotia	Nouvelle-Écosse	Dartmouth	Dartmouth	83423	62877	180	37446	133	37579	Wendy	Lill	N.D.P.	N.P.D.	59.8		99.6	0.4
Nova Scotia	Nouvelle-Écosse	Halifax	Halifax	80677	67849	201	41035	176	41211	Alexa	McDonough	N.D.P.	N.P.D.	60.7		99.6	0.4
Nova Scotia	Nouvelle-Écosse	Halifax West	Halifax-Ouest	93901	77579	217	46735	173	46908	Geoff	Regan	Lib.	Lib.	60.5		99.6	0.4
Nova Scotia	Nouvelle-Écosse	Kings--Hants	Kings--Hants	98676	73052	234	43714	145	43859	Scott	Brison	P.C.	P.-C.	60		99.7	0.3
