Family name - Nom de famille	Middle name(s) - Autre(s) prénom(s) 	Given name - Prénom	Electoral district 	Circonscription 	Province or territory	Province ou territoire 	Majority - Majorité	% Majority - Majorité %	Place of residence - Lieu de résidence 	Occupation	Profession 	Political affiliation 	Appartenance politique 	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %
Tobin		Brian	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	11087	27.3	St. John's	Politician	Politicien	Lib.	Lib.	22096	54.38479904
Morgan		Jim	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	11087	27.3	Cupids	Businessman	Homme d'affaires	P.C.	P.-C.	11009	27.09640897
March		Fraser	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	11087	27.3	Blaketown	Self-employed	Travailleur indépendant	N.D.P.	N.P.D.	6473	15.93196978
Dawe	Wayne	Randy	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	11087	27.3	Clarke's Beach	Businessman	Homme d'affaires	Alliance	Alliance	1051	2.586822221
Matthews		Bill	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	6712	21.8	Mount Pearl	Parliamentarian	Parlementaire	Lib.	Lib.	14603	47.52497803
Synard		Sam	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	6712	21.8	Marystown	Educator	Éducateur	NIL	NIL	7891	25.68099717
Pottle		Fred	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	6712	21.8	Kippens	Businessman	Homme d'affaires	P.C.	P.-C.	5798	18.86939825
Fenwick		Peter	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	6712	21.8	Cape St. George	Journalist	Journaliste	Alliance	Alliance	1511	4.917499268
Sullivan		David	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	6712	21.8	Torbay	Teacher	Enseignant	N.D.P.	N.P.D.	924	3.007127282
Baker		George	Gander--Grand Falls	Gander--Grand Falls	Newfoundland	Terre-Neuve	7683	26.6	Gander	Parliamentarian	Parlementaire	Lib.	Lib.	15874	55.01680934
Pike	K.	Roger	Gander--Grand Falls	Gander--Grand Falls	Newfoundland	Terre-Neuve	7683	26.6	Grand Falls-Windsor	Public Relations Manager	Gestionnaire des relations publiques	P.C.	P.-C.	8191	28.38872907
Broderick		Bill	Gander--Grand Falls	Gander--Grand Falls	Newfoundland	Terre-Neuve	7683	26.6	St. Brendan's	Fish Harvester	Pêcheur	N.D.P.	N.P.D.	2876	9.96776765
Penney		Orville	Gander--Grand Falls	Gander--Grand Falls	Newfoundland	Terre-Neuve	7683	26.6	Grand Falls-Windsor	Business Manager	Directeur des opérations	Alliance	Alliance	1912	6.626693931
Byrne		Gerry	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland	Terre-Neuve	7108	22.4	Corner Brook	Parliamentarian	Parlementaire	Lib.	Lib.	15405	48.52885585
Taylor		Trevor	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland	Terre-Neuve	7108	22.4	St. Anthony	Fisherman	Pêcheur	N.D.P.	N.P.D.	8297	26.13722278
McBreairty		Peter	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland	Terre-Neuve	7108	22.4	Pasadena	Guidance Counsellor	Conseiller d'orientation	P.C.	P.-C.	6340	19.97227823
Cole		Murdock	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland	Terre-Neuve	7108	22.4	Flower's Cove	Retired Educator	Éducateur retraité	Alliance	Alliance	1702	5.361643145
O'Brien		Lawrence	Labrador	Labrador	Newfoundland	Terre-Neuve	5869	56.6	Happy Valley-Goose Bay	Parliamentarian	Parlementaire	Lib.	Lib.	7153	68.99112654
Will		Amanda	Labrador	Labrador	Newfoundland	Terre-Neuve	5869	56.6	Portugal Cove South	Political Assistant	Adjointe politique	N.D.P.	N.P.D.	1284	12.38425926
Broomfield		Hayward	Labrador	Labrador	Newfoundland	Terre-Neuve	5869	56.6	Happy Valley-Goose Bay	Unemployed	Sans emploi	P.C.	P.-C.	1254	12.09490741
Burt		Eugene	Labrador	Labrador	Newfoundland	Terre-Neuve	5869	56.6	Labrador City	Administrator	Administrateur	Alliance	Alliance	677	6.52970679
Doyle	E.	Norman	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	St. John's	Parliamentarian	Parlementaire	P.C.	P.-C.	23606	53.21940662
Miller		Peter	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	St. John's	Municipal Councillor	Conseiller municipal	Lib.	Lib.	13835	31.19081973
Cantwell		Carol	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	St. John's	Former School Principal	Ancienne directrice d'école	N.D.P.	N.P.D.	5395	12.16295428
Hartle		Garry	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	Portugal Cove South	Consultant	Consultant	Alliance	Alliance	1144	2.579132474
Day		Judy	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	St. John's	Retired Registered Nurse	Infirmière diplômée retraitée	Ind.	Ind.	254	0.572639553
Rayment		Michael	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	9771	22	St. John's	Computer System Manager	Gestionnaire des systèmes informatiques	N.L.P.	P.L.N.	122	0.275047344
Hearn		Loyola	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	8822	20.6	Renews-Cappahayden	Parliamentarian	Parlementaire	P.C.	P.-C.	22959	53.61621634
Furey		Chuck	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	8822	20.6	St. John's	Parliamentarian	Parlementaire	Lib.	Lib.	14137	33.01417529
Curtis		Dave	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	8822	20.6	St. John's	Self-employed	Travailleur indépendant	N.D.P.	N.P.D.	4744	11.07867635
Drost		Eldon	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	8822	20.6	Deer Lake	Greenhouse Manager	Directeur de serre	Alliance	Alliance	840	1.961654328
Rendell		Michael	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	8822	20.6	St. John's	Computer Programmer	Programmeur	N.L.P.	P.L.N.	141	0.329277691
MacAulay		Lawrence	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	276	1.6	St. Peters Bay	Farmer	Agriculteur	Lib.	Lib.	8545	48.06232072
MacAdam		Kevin	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	276	1.6	Mount Stewart	Researcher	Chargé d'études	P.C.	P.-C.	8269	46.50992744
Hickox		Darrell	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	276	1.6	Mermaid	Nursing	Soins infirmiers	Alliance	Alliance	500	2.812306654
Kelly Hawkes		Deborah	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	276	1.6	Montague	Counsellor	Conseillère	N.D.P.	N.P.D.	465	2.615445188
McGuire		Joe	Egmont	Egmont	Prince Edward Island	Île-du-Prince-Édouard	2111	11.5	Tyne Valley	Parliamentarian	Parlementaire	Lib.	Lib.	9227	50.05424759
Griffin		John	Egmont	Egmont	Prince Edward Island	Île-du-Prince-Édouard	2111	11.5	Elmsdale	Manager	Gestionnaire	P.C.	P.-C.	7116	38.60258219
Wallace		Nancy	Egmont	Egmont	Prince Edward Island	Île-du-Prince-Édouard	2111	11.5	O'Leary	Retail Lending Administrator	Administratrice de crédit de détail	N.D.P.	N.P.D.	1139	6.178800043
Sullivan		Jeff	Egmont	Egmont	Prince Edward Island	Île-du-Prince-Édouard	2111	11.5	Summerside	Banker	Banquier	Alliance	Alliance	952	5.164370186
Murphy		Shawn	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Charlottetown	Lawyer	Avocat	Lib.	Lib.	8277	41.80514167
Peters	W.	Darren	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Charlottetown	Financial Consultant	Conseiller financier	P.C.	P.-C.	6039	30.50154048
Crane		Dody	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Charlottetown	Lawyer	Avocate	N.D.P.	N.P.D.	4328	21.85968988
Stewart		Gerry	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Charlottetown	Professional Engineer	Ingénieur	Alliance	Alliance	1005	5.07601394
Cameron		Peter	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Ottawa	Business Consultant	Conseiller en affaires	N.L.P.	P.L.N.	92	0.464669933
Judson		Baird	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	2238	11.3	Charlottetown	Retired	Retraité	NIL	NIL	58	0.292944088
Easter		Wayne	Malpeque	Malpeque	Prince Edward Island	Île-du-Prince-Édouard	1786	9.7	North Wiltshire	Parliamentarian	Parlementaire	Lib.	Lib.	8972	48.62345545
Gorman		Jim	Malpeque	Malpeque	Prince Edward Island	Île-du-Prince-Édouard	1786	9.7	Bonshaw			P.C.	P.-C.	7186	38.94428788
Wall		Chris	Malpeque	Malpeque	Prince Edward Island	Île-du-Prince-Édouard	1786	9.7	Summerside	Fisherman	Pêcheur	Alliance	Alliance	1262	6.839367006
Bingham		Ken	Malpeque	Malpeque	Prince Edward Island	Île-du-Prince-Édouard	1786	9.7	New Glasgow	Retired Educator	Éducateur retraité	N.D.P.	N.P.D.	782	4.238022979
Stiles		Jeremy	Malpeque	Malpeque	Prince Edward Island	Île-du-Prince-Édouard	1786	9.7	Kensington	Regulatory Affairs	Affaires réglementaires	G.P.	P.V.	250	1.354866681
Cuzner		Rodger	Bras d'Or--Cape Breton	Bras d'Or--Cape Breton	Nova Scotia	Nouvelle-Écosse	12701	33.5	Cape Breton	Special Event Coordinator CBRM	Coordonnateur des événements spéciaux MRCB	Lib.	Lib.	20815	54.84993017
MacLeod		Alfie	Bras d'Or--Cape Breton	Bras d'Or--Cape Breton	Nova Scotia	Nouvelle-Écosse	12701	33.5	Gabarus Lake	Ministerial Assistant	Adjoint ministériel	P.C.	P.-C.	8114	21.38132757
Dockrill		Michelle	Bras d'Or--Cape Breton	Bras d'Or--Cape Breton	Nova Scotia	Nouvelle-Écosse	12701	33.5	Cape Breton	Health Care Worker	Travailleuse de la santé	N.D.P.	N.P.D.	7537	19.8608659
Currie	M.	John	Bras d'Or--Cape Breton	Bras d'Or--Cape Breton	Nova Scotia	Nouvelle-Écosse	12701	33.5	Cape Breton	Business Owner	Propriétaire d'entreprise	Alliance	Alliance	1483	3.90787636
Casey		Bill	Cumberland--Colchester	Cumberland--Colchester	Nova Scotia	Nouvelle-Écosse	8445	21.9	Amherst	Parliamentarian	Parlementaire	P.C.	P.-C.	18716	48.49081535
Brushett		Dianne	Cumberland--Colchester	Cumberland--Colchester	Nova Scotia	Nouvelle-Écosse	8445	21.9	Truro	Businesswoman	Femme d'affaires	Lib.	Lib.	10271	26.61087649
Ryan		Bryden	Cumberland--Colchester	Cumberland--Colchester	Nova Scotia	Nouvelle-Écosse	8445	21.9	Great Village	Farmer and Mechanic	Agriculteur-Mécanicien	Alliance	Alliance	4981	12.90514807
Harpell	Arthur	James	Cumberland--Colchester	Cumberland--Colchester	Nova Scotia	Nouvelle-Écosse	8445	21.9	Brookfield	Restaurant Owner	Propriétaire de restaurant	N.D.P.	N.P.D.	4629	11.99316009
Lill		Wendy	Dartmouth	Dartmouth	Nova Scotia	Nouvelle-Écosse	1177	3.1	Halifax	Writer	Écrivaine	N.D.P.	N.P.D.	13585	36.27890829
Boudreau		Bernie	Dartmouth	Dartmouth	Nova Scotia	Nouvelle-Écosse	1177	3.1	Halifax	Lawyer	Avocat	Lib.	Lib.	12408	33.13571543
McInnis		Tom	Dartmouth	Dartmouth	Nova Scotia	Nouvelle-Écosse	1177	3.1	Halifax	Lawyer	Avocat	P.C.	P.-C.	8085	21.59109117
Morgan		Jordi	Dartmouth	Dartmouth	Nova Scotia	Nouvelle-Écosse	1177	3.1	Halifax	Broadcaster	Radiodiffuseur	Alliance	Alliance	3282	8.764621054
Spurr		Charles	Dartmouth	Dartmouth	Nova Scotia	Nouvelle-Écosse	1177	3.1	Halifax	Home Care Worker	Fournisseur de soins infirmiers à domicile	M.-L.	M.-L.	86	0.22966405
McDonough		Alexa	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Party Leader	Chef de parti	N.D.P.	N.P.D.	16563	40.36310467
Little		Kevin	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Clergy	Membre du clergé	Lib.	Lib.	13539	32.99378579
Fitzgibbons		Paul	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Printer	Imprimeur	P.C.	P.-C.	7255	17.68002924
Boyer		Amery	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Business Owner/Manager	Propriétaire-gérante d'entreprise	Alliance	Alliance	2348	5.721944681
Patriquen		Mike	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Caregiver	Soignant	M.P.	P.M.	627	1.527963933
Oddy	G.	Michael	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Teacher	Enseignant	G.P.	P.V.	590	1.437797003
Corkill	Dumont	Kevin	Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	3024	7.4	Halifax	Technical Service Representative	Représentant des services techniques	M.-L.	M.-L.	113	0.27537468
Regan		Geoff	Halifax West	Halifax-Ouest	Nova Scotia	Nouvelle-Écosse	4311	9.2	Halifax	Lawyer	Avocat	Lib.	Lib.	18327	39.2147213
Earle		Gordon	Halifax West	Halifax-Ouest	Nova Scotia	Nouvelle-Écosse	4311	9.2	Halifax	Parliamentarian	Parlementaire	N.D.P.	N.P.D.	14016	29.99037124
Cirtwill		Charles	Halifax West	Halifax-Ouest	Nova Scotia	Nouvelle-Écosse	4311	9.2	Halifax	Policy Analyst	Analyste de politiques	P.C.	P.-C.	9701	20.75746229
Stevens		Hilda	Halifax West	Halifax-Ouest	Nova Scotia	Nouvelle-Écosse	4311	9.2	Halifax	Health Care Administrator	Administratrice en soins de santé	Alliance	Alliance	4531	9.695089333
Seed		Tony	Halifax West	Halifax-Ouest	Nova Scotia	Nouvelle-Écosse	4311	9.2	Halifax	Editor-Publisher	Rédacteur en chef-Éditeur	M.-L.	M.-L.	160	0.342355836
Brison		Scott	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Cheverie	Business Person	Personne d'affaires	P.C.	P.-C.	17612	40.28915222
O'Hara		Claude	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Windsor	Businessman	Homme d'affaires	Lib.	Lib.	13213	30.22601455
Johnson		Kaye	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Kentville	Anti-Racism and Human Rights Educator	Spécialiste (lutte contre le racisme et droits de la personne)	N.D.P.	N.P.D.	7244	16.57135014
Fulton		Gerry	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Berwick	Businessman	Homme d'affaires	Alliance	Alliance	4618	10.56412133
King		Jim	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Waterville	Webmaster	Webmestre	M.P.	P.M.	669	1.530402159
MacEachern		Kenneth	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Cambridge	Recreation Director	Directeur des loisirs	Ind.	Ind.	140	0.320263531
Hennigar		Richard	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Canning	Businessman (Agriculture)	Homme d'affaires (Agriculture)	N.L.P.	P.L.N.	133	0.304250355
MacDonald	Jake	Graham	Kings--Hants	Kings--Hants	Nova Scotia	Nouvelle-Écosse	4399	10.1	Wolfville	Retired	Retraité	Comm.	Comm.	85	0.194445715
MacKay	G.	Peter	Pictou--Antigonish--Guysborough	Pictou--Antigonish--Guysborough	Nova Scotia	Nouvelle-Écosse	6713	16.8	New Glasgow	Lawyer	Avocat	P.C.	P.-C.	19298	48.41080701
Mason		Raymond	Pictou--Antigonish--Guysborough	Pictou--Antigonish--Guysborough	Nova Scotia	Nouvelle-Écosse	6713	16.8	Antigonish	Teacher	Enseignant	Lib.	Lib.	12585	31.57062941
Panagopoulos		Wendy	Pictou--Antigonish--Guysborough	Pictou--Antigonish--Guysborough	Nova Scotia	Nouvelle-Écosse	6713	16.8	Guysborough	Addiction Services Community Educator	Animatrice socio-éducative en services de toxicomanie	N.D.P.	N.P.D.	4498	11.28364649
Henderson		Harvey	Pictou--Antigonish--Guysborough	Pictou--Antigonish--Guysborough	Nova Scotia	Nouvelle-Écosse	6713	16.8	Pictou	Teacher	Enseignant	Alliance	Alliance	2930	7.350174347
Gallivan		Darryl	Pictou--Antigonish--Guysborough	Pictou--Antigonish--Guysborough	Nova Scotia	Nouvelle-Écosse	6713	16.8	Antigonish	Philosopher	Théoriste	Ind.	Ind.	552	1.384742744
Stoffer		Peter	Sackville--Musquodoboit Valley--Eastern Shore	Sackville--Musquodoboit Valley--Eastern Shore	Nova Scotia	Nouvelle-Écosse	755	1.9	Windsor Junction	Parliamentarian	Parlementaire	N.D.P.	N.P.D.	13619	34.47586259
