Province or territory	Province ou territoire 	Electors on the lists - Électeurs figurant sur les listes 	Polling stations - Bureaux de scrutin 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Polling stations - Bureaux de scrutin 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Polling stations - Bureaux de scrutin 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Polling stations - Bureaux de scrutin 	Year - Année
Newfoundland	Terre-Neuve	405210	1404	2000	407109	1393	1997	419635	1387	1993	384236	1450	1988
Prince Edward Island	Île-du-Prince-Édouard	103034	324	2000	97802	320	1997	99645	326	1993	89546	358	1988
Nova Scotia	Nouvelle-Écosse	694984	2215	2000	677164	2206	1997	707202	2210	1993	644353	2293	1988
New Brunswick	Nouveau-Brunswick	571569	1790	2000	551530	1755	1997	562128	1733	1993	508741	1837	1988
Quebec	Québec	5542169	15279	2000	5177159	15025	1997	5025263	14951	1993	4740091	15359	1988
Ontario	Ontario	7713744	21621	2000	7115785	20938	1997	7266097	20285	1993	6309375	19909	1988
Manitoba	Manitoba	786309	2419	2000	758526	2406	1997	791374	2451	1993	729281	2476	1988
Saskatchewan	Saskatchewan	698145	2295	2000	679806	2258	1997	704248	2253	1993	675160	2318	1988
Alberta	Alberta	2094001	5690	2000	1811413	5544	1997	1851822	5093	1993	1557669	5105	1988
British Columbia	Colombie-Britannique	2574322	7467	2000	2332083	7281	1997	2420709	6821	1993	1954040	6522	1988
Yukon Territory	Territoire du Yukon	20901	86	2000	19934	88	1997	20565	76	1993	16396	74	1988
Northwest Territories	Territoires du Nord-Ouest	24716	92	2000	35167	135	1997	38108	139	1993	30113	159	1988
Nunavut	Nunavut	14369	46	2000	0	0	1997	0	0	1993	0	0	1988
