Province or territory	Province ou territoire 	Population	Electors on the lists - Électeurs figurant sur les listes 	Valid ballots - Bulletins valides 	Rejected ballots - Bulletins rejetés	Total ballots cast - Total des bulletins déposés	Percentage of voter turnout - Participation électorale % 	% Valid ballots - % Bulletins valides 	% Rejected ballots - % Bulletins rejetés
Newfoundland	Terre-Neuve	551792	405210	229498	1680	231178	57.1	99.3	0.7
Prince Edward Island	Île-du-Prince-Édouard	134557	103034	74464	424	74888	72.7	99.4	0.6
Nova Scotia	Nouvelle-Écosse	909282	694984	435269	2106	437375	62.9	99.5	0.5
New Brunswick	Nouveau-Brunswick	738133	571569	383012	4166	387178	67.7	98.9	1.1
Quebec	Québec	7138795	5542169	3456898	95653	3552551	64.1	97.3	2.7
Ontario	Ontario	10753573	7713744	4452605	21396	4474001	58	99.5	0.5
Manitoba	Manitoba	1113898	786309	487832	2251	490083	62.3	99.5	0.5
Saskatchewan	Saskatchewan	990237	698145	433697	1382	435079	62.3	99.7	0.3
Alberta	Alberta	2696826	2094001	1255999	3795	1259794	60.2	99.7	0.3
British Columbia	Colombie-Britannique	3724500	2574322	1614721	6380	1621101	63	99.6	0.4
Yukon Territory	Territoire du Yukon	30766	20901	13219	53	13272	63.5	99.6	0.4
Northwest Territories	Territoires du Nord-Ouest	24730	24716	12840	72	12912	52.2	99.4	0.6
Nunavut	Nunavut	39672	14369	7719	54	7773	54.1	99.3	0.7
