Province or territory	Province ou territoire 	Electors on the lists - Électeurs figurant sur les listes 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Year - Année	Electors on the lists - Électeurs figurant sur les listes 	Year - Année	Total ballots cast 2000 - Total des bulletins déposés 2000	Total ballots cast 1997 - Total des bulletins déposés 1997	Total ballots cast 1993 - Total des bulletins déposés 1993	Total ballots cast 1988 - Total des bulletins déposés 1988
Newfoundland	Terre-Neuve	405210	2000	407109	1997	419635	1993	384236	1988	231178	224722	231424	257793
Prince Edward Island	Île-du-Prince-Édouard	103034	2000	97802	1997	99645	1993	89546	1988	74888	71171	72973	75986
Nova Scotia	Nouvelle-Écosse	694984	2000	677164	1997	707202	1993	644353	1988	437375	470272	457610	481682
New Brunswick	Nouveau-Brunswick	571569	2000	551530	1997	562128	1993	508741	1988	387178	404921	391247	386201
Quebec	Québec	5542169	2000	5177159	1997	5025263	1993	4740091	1988	3552551	3792870	3873050	3562777
Ontario	Ontario	7713744	2000	7115785	1997	7266097	1993	6309375	1988	4474001	4664525	4918819	4706214
Manitoba	Manitoba	786309	2000	758526	1997	791374	1993	729281	1988	490083	479110	543339	544756
Saskatchewan	Saskatchewan	698145	2000	679806	1997	704248	1993	675160	1988	435079	444004	488755	525219
Alberta	Alberta	2094001	2000	1811413	1997	1851822	1993	1557669	1988	1259794	1059348	1206871	1167770
British Columbia	Colombie-Britannique	2574322	2000	2332083	1997	2420709	1993	1954040	1988	1621101	1529139	1640614	1538628
Yukon Territory	Territoire du Yukon	20901	2000	19934	1997	20565	1993	16396	1988	13272	13915	14471	12849
Northwest Territories	Territoires du Nord-Ouest	24716	2000	35167	1997	38108	1993	30113	1988	12912	20701	23962	21316
Nunavut	Nunavut	14369	2000	0	1997	0	1993	0	1988	7773	0	0	0
