Province or territory	Province ou territoire 	Voting at ordinary polling stations (stationary) - Vote aux bureaux ordinaires de scrutin (fixes)	Voting at ordinary polling stations (mobile) - Vote aux bureaux ordinaires de scrutin (itinérants)	Voting at advance polling stations - Vote aux bureaux de vote par anticipation 	Voting under Special Voting Rules - Vote en vertu des Règles électorales spéciales	Total valid votes - Total des votes valides
Newfoundland	Terre-Neuve	217959	1154	6167	4218	229498
Prince Edward Island	Île-du-Prince-Édouard	67183	588	4588	2105	74464
Nova Scotia	Nouvelle-Écosse	398389	1884	26348	8648	435269
New Brunswick	Nouveau-Brunswick	344471	3236	27693	7612	383012
Quebec	Québec	3164655	18048	219300	54895	3456898
Ontario	Ontario	4098952	18579	274661	60413	4452605
Manitoba	Manitoba	456913	2752	20670	7497	487832
Saskatchewan	Saskatchewan	402788	3129	21454	6326	433697
Alberta	Alberta	1159274	12559	68081	16085	1255999
British Columbia	Colombie-Britannique	1477353	9931	104610	22827	1614721
Yukon Territory	Territoire du Yukon	11743	47	814	615	13219
Northwest Territories	Territoires du Nord-Ouest	11697	0	611	532	12840
Nunavut	Nunavut	7499	0	160	60	7719
