Province or territory	Province ou territoire 	Liberal Party of Canada/Male - Parti libéral du Canada/Hommes	Liberal Party of Canada/Female - Parti libéral du Canada/Femmes	Canadian Reform Conservative Alliance/Male - l'Alliance réformiste conservatrice canadienne/Hommes	Canadian Reform Conservative Alliance/female - l'Alliance réformiste conservatrice canadienne/Femmes	Bloc Québécois/Male - Bloc Québécois/Hommes	Bloc Québécois/Female - Bloc Québécois/Femmes	New Democratic Party/Male - Nouveau Parti Démocratique/Hommes	New Democratic Party/Female - Nouveau Parti Démocratique/Femmes	Progressive Conservative Party of Canada/Male - Parti progressiste-conservateur du Canada/Hommes	Progressive Conservative Party of Canada/Female - Parti progressiste-conservateur du Canada/Femmes	Others/Male - Autres/Hommes	Others/Female - Autres/Femmes	Total/Male - Total/Hommes	Total/Female - Total/Femmes
Newfoundland	Terre-Neuve	5	0	0	0	0	0	0	0	2	0	0	0	7	0
Prince Edward Island	Île-du-Prince-Édouard	4	0	0	0	0	0	0	0	0	0	0	0	4	0
Nova Scotia	Nouvelle-Écosse	4	0	0	0	0	0	1	2	4	0	0	0	9	2
New Brunswick	Nouveau-Brunswick	5	1	0	0	0	0	1	0	2	1	0	0	8	2
Quebec	Québec	29	9	0	0	27	9	0	0	1	0	0	0	57	18
Ontario	Ontario	76	24	1	1	0	0	1	0	0	0	0	0	78	25
Manitoba	Manitoba	4	1	4	0	0	0	2	2	1	0	0	0	11	3
Saskatchewan	Saskatchewan	2	0	8	2	0	0	2	0	0	0	0	0	12	2
Alberta	Alberta	1	1	21	2	0	0	0	0	1	0	0	0	23	3
British Columbia	Colombie-Britannique	3	2	25	2	0	0	1	1	0	0	0	0	29	5
Yukon Territory	Territoire du Yukon	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Northwest Territories	Territoires du Nord-Ouest	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Nunavut	Nunavut	0	1	0	0	0	0	0	0	0	0	0	0	0	1
