Province,Electors/Électeurs 2008,Electors/Électeurs 2006,Electors/Électeurs 2004,Electors/Électeurs 2000,Polling Stations/Bureaux de scrutin 2008,Polling Stations/Bureaux de scrutin 2006,Polling Stations/Bureaux de scrutin 2004,Polling Stations/Bureaux de scrutin 2000,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2008,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2006,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2004,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2000
Newfoundland and Labrador/Terre-Neuve-et-Labrador,410411,403982,405032,405210,1459,1475,1445,1404,281,274,280,289
Prince Edward Island/Île-du-Prince-Édouard,108211,107677,109031,103034,326,337,331,324,332,320,329,318
Nova Scotia/Nouvelle-Écosse,727875,750829,706932,694984,2397,2311,2225,2215,304,325,318,314
New Brunswick/Nouveau-Brunswick,590984,594104,597440,571569,1940,1919,1916,1790,305,310,312,319
Quebec/Québec,5954763,5852528,5800109,5542169,17186,16158,15880,15279,346,362,365,363
Ontario,8834987,8536359,8294928,7713744,25227,23781,23030,21621,350,359,360,357
Manitoba,835401,831278,841061,786309,2562,2486,2498,2419,326,334,337,325
Saskatchewan,715291,712427,723922,698145,2418,2366,2337,2295,296,301,310,304
Alberta,2433695,2322108,2171584,2094001,6737,6380,6231,5690,361,364,349,368
British Columbia/Colombie-Britannique,2996864,2875950,2750577,2574322,8470,8047,7735,7467,354,357,356,345
Yukon,23281,21493,20345,20901,91,95,92,86,256,226,221,243
Northwest Territories/Territoires du Nord-Ouest,28787,28792,28619,24716,89,86,85,92,323,335,337,269
Nunavut,17089,17088,17041,14369,53,36,54,46,322,475,316,312
