Province,Electors/Électeurs 2008,Electors/Électeurs 2006,Electors/Électeurs 2004,Electors/Électeurs 2000,Total Ballots Cast/Total des bulletins déposés 2008,Total Ballots Cast/Total des bulletins déposés 2006,Total Ballots Cast/Total des bulletins déposés 2004,Total Ballots Cast/Total des bulletins déposés 2000,Percentage of Voter Turnout/Pourcentage de la participation électorale 2008,Percentage of Voter Turnout/Pourcentage de la participation électorale 2006,Percentage of Voter Turnout/Pourcentage de la participation électorale 2004,Percentage of Voter Turnout/Pourcentage de la participation électorale 2000
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",410411,403982,405032,405210,195669,228961,199536,231178,47.7,56.7,49.3,57.1
"Prince Edward Island/Île-du-Prince-Édouard",108211,107677,109031,103034,74636,78829,77143,74888,69,73.2,70.8,72.7
"Nova Scotia/Nouvelle-Écosse",727875,750829,706932,694984,438551,479580,440450,437375,60.3,63.9,62.3,62.9
"New Brunswick/Nouveau-Brunswick",590984,594104,597440,571569,371586,410918,374952,387178,62.9,69.2,62.8,67.7
"Quebec/Québec",5954763,5852528,5800109,5542169,3671728,3737849,3507100,3552551,61.7,63.9,60.5,64.1
"Ontario",8834987,8536359,8294928,7713744,5177150,5682366,5127387,4474001,58.6,66.6,61.8,58
"Manitoba",835401,831278,841061,786309,468743,517557,476512,490083,56.1,62.3,56.7,62.3
"Saskatchewan",715291,712427,723922,698145,419600,463788,427960,435079,58.7,65.1,59.1,62.3
"Alberta",2433695,2322108,2171584,2094001,1274992,1436655,1278932,1259794,52.4,61.9,58.9,60.2
"British Columbia/Colombie-Britannique",2996864,2875950,2750577,2574322,1799892,1832557,1739999,1621101,60.1,63.7,63.3,63
"Yukon",23281,21493,20345,20901,14721,14206,12578,13272,63.2,66.1,61.8,63.5
"Northwest Territories/Territoires du Nord-Ouest",28787,28792,28619,24716,13733,16186,13546,12912,47.7,56.2,47.3,52.2
"Nunavut",17089,17088,17041,14369,8092,9251,7475,7773,47.4,54.1,43.9,54.1

