Province,Conservative Party of Canada Male / Parti conservateur du Canada Hommes,Conservative Party of Canada Female / Parti conservateur du Canada Femmes,Liberal Party of Canada Male / Parti libéral du Canada Hommes,Liberal Party of Canada Female / Parti libéral du Canada Femmes,Bloc Québécois Male / Bloc Québécois Hommes,Bloc Québécois Female / Bloc Québécois Femmes,New Democratic Party Male / Nouveau Parti démocratique Hommes,New Democratic Party Female / Nouveau Parti démocratique Femmes,Independent Male / Indépendant Hommes,Independent Female / Indépendant Femmes,Others_Male/Autres_Hommes,Others_Female/Autres_Femme,Total_Male/Total_Hommes,Total_Female/Total_Femmes
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",0,0,4,2,0,0,1,0,0,0,0,0,5,2
"Prince Edward Island/Île-du-Prince-Édouard",0,1,3,0,0,0,0,0,0,0,0,0,3,1
"Nova Scotia/Nouvelle-Écosse",3,0,5,0,0,0,1,1,1,0,0,0,10,1
"New Brunswick/Nouveau-Brunswick",5,1,3,0,0,0,1,0,0,0,0,0,9,1
"Quebec/Québec",8,2,10,4,34,15,1,0,1,0,0,0,54,21
"Ontario",44,7,28,10,0,0,13,4,0,0,0,0,85,21
"Manitoba",6,3,0,1,0,0,2,2,0,0,0,0,8,6
"Saskatchewan",11,2,1,0,0,0,0,0,0,0,0,0,12,2
"Alberta",25,2,0,0,0,0,0,1,0,0,0,0,25,3
"British Columbia/Colombie-Britannique",18,4,3,2,0,0,5,4,0,0,0,0,26,10
"Yukon",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Northwest Territories/Territoires du Nord-Ouest",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Nunavut",0,1,0,0,0,0,0,0,0,0,0,0,0,1

