Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,527,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,1379991,0,0,0,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,196,168,0,1130,0,167,1030,764,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,124,1944,0,266,12721,4117,483,3437,3383,0,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,393,1472,394,0,480,833,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",32261,26863,113803,145094,784996,2020641,228186,225152,822147,797177,4788,5146,2815
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,632,212,282,233,0,0,252,0
"Green Party of Canada/Le Parti Vert du Canada",3259,3485,35053,22482,125805,409936,31566,23109,111334,168282,1881,752,669
"Liberal Party of Canada/Parti libéral du Canada",91025,35365,130077,119575,860449,1743241,89347,62194,144646,346344,6715,1858,2349
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,3193,0,73,1172,2862,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,330,183,1427,0,0,0,358,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,162,0,2739,3410,0,0,900,1354,0,0,0
"New Democratic Party/Nouveau Parti démocratique",65680,7232,126121,80495,441098,937921,112194,106618,160874,467882,1276,5669,2228
"Newfoundland and Labrador First Party/Newfoundland and Labrador First Party",1713,0,0,0,0,0,0,0,0,0,0,0,0
"People's Political Power Party of Canada/Pouvoir Politique du Peuple du Canada",0,0,0,0,0,0,186,0,0,0,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",578,0,0,0,0,4857,0,0,0,425,0,0,0
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,0,195,0,0,0
"Work Less Party/Work Less Party",0,0,0,0,0,0,0,0,0,425,0,0,0
"neorhino.ca/neorhino.ca",0,0,0,0,2122,0,0,0,0,0,0,0,0
"Independent/Indépendant",179,1101,28697,0,23028,12898,575,138,20071,2700,0,0,0
"No Affiliation/Aucune appartenance",0,0,0,0,205,0,0,0,4836,416,0,0,0

