Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,38.1,0,0,0,0,0,0,0,0,9.98
"Canadian Action Party/Parti action canadienne",0,0,0,0,0,0,0,0,.1,0,0,0,0,.02
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,.2,.4,0,0,.2,.9,.1,.3,.2,0,0,0,.19
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,0,0,.1,0,0,0,0,0,0,.03
"Conservative Party of Canada/Parti conservateur du Canada",16.6,36.2,26.1,39.4,21.7,39.2,48.9,53.8,64.7,44.5,32.7,37.6,34.9,37.65
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,0,0,.1,0,0,0,1.8,0,.01
"Green Party of Canada/Le Parti Vert du Canada",1.7,4.7,8,6.1,3.5,8,6.8,5.5,8.8,9.4,12.8,5.5,8.3,6.78
"Liberal Party of Canada/Parti libéral du Canada",46.8,47.7,29.8,32.5,23.8,33.8,19.1,14.9,11.4,19.3,45.8,13.6,29.1,26.26
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,.1,0,0,.1,.2,0,0,0,.05
"Marijuana Party/Parti Marijuana",0,0,0,.1,0,0,0,0,0,0,0,0,0,.02
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,.1,.1,0,0,.1,.1,0,0,0,.06
"New Democratic Party/Nouveau Parti démocratique",33.7,9.8,28.9,21.9,12.2,18.2,24,25.5,12.7,26.1,8.7,41.4,27.6,18.18
"Newfoundland and Labrador First Party/Newfoundland and Labrador First Party",.9,0,0,0,0,0,0,0,0,0,0,0,0,.01
"People's Political Power Party of Canada/Pouvoir Politique du Peuple du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",.3,0,0,0,0,.1,0,0,0,0,0,0,0,.04
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Work Less Party/Work Less Party",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neorhino.ca/neorhino.ca",0,0,0,0,.1,0,0,0,0,0,0,0,0,.02
"Independent/Indépendant",.1,1.5,6.6,0,.6,.3,.1,0,1.6,.2,0,0,0,.65
"No Affiliation/Aucune appartenance",0,0,0,0,0,0,0,0,.4,0,0,0,0,.04

