Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",519716,420067,1204,48,142,1394
"Prince Edward Island/Île-du-Prince-Édouard",142907,116721,292,15,33,340
"Nova Scotia/Nouvelle-Écosse",923598,771411,2095,56,221,2372
"New Brunswick/Nouveau-Brunswick",747101,616704,1578,79,179,1836
"Quebec/Québec",8164361,6482847,16008,532,1537,18077
"Ontario",13448494,10484419,23966,567,2098,26631
"Manitoba",1278365,927347,2328,110,263,2701
"Saskatchewan",1098352,807984,2071,99,216,2386
"Alberta",4067175,3023980,6889,236,655,7780
"British Columbia/Colombie-Britannique",4648055,3641258,8036,236,783,9055
"Yukon",35874,29591,70,2,17,89
"Northwest Territories/Territoires du Nord-Ouest",41786,30704,93,0,8,101
"Nunavut",35944,20025,41,0,14,55
