Province,Valid Votes_Stationary Polls/Votes valides_Bureaux fixes,Valid Votes_Mobile Polls/Votes valides_Bureaux itinérants,Valid Votes_Advance Polls/Votes valides_Bureaux par anticipation,Valid Votes_SVR/Votes valides_RES,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",194974,2785,35982,9537,243278
"Prince Edward Island/Île-du-Prince-Édouard",54550,1163,25886,3695,85294
"Nova Scotia/Nouvelle-Écosse",369773,3821,138403,21925,533922
"New Brunswick/Nouveau-Brunswick",276096,6403,139168,18143,439810
"Quebec/Québec",2905777,39859,1213952,124750,4284338
"Ontario",4914199,52822,1700150,225046,6892217
"Manitoba",445443,8242,117229,21325,592239
"Saskatchewan",401505,7176,150976,22973,582630
"Alberta",1364156,24370,604300,90135,2082961
"British Columbia/Colombie-Britannique",1559730,20201,706377,101121,2387429
"Yukon",13775,96,4272,2874,21017
"Northwest Territories/Territoires du Nord-Ouest",12378,0,2458,1455,16291
"Nunavut",7824,0,1147,483,9454
