Province,Liberal Party of Canada_Male / Parti libéral du Canada_Hommes,Liberal Party of Canada_Female / Parti libéral du Canada_Femmes,Liberal Party of Canada_Another gender / Parti libéral du Canada_Autre genre,Liberal Party of Canada_Unknown / Parti libéral du Canada_Inconnu,Conservative Party of Canada_Male / Parti conservateur du Canada_Hommes,Conservative Party of Canada_Female / Parti conservateur du Canada_Femmes,Conservative Party of Canada_Another gender / Parti conservateur du Canada_Autre genre,Conservative Party of Canada_Unknown / Parti conservateur du Canada_Inconnu,Bloc Québécois_Male / Bloc Québécois_Hommes,Bloc Québécois_Female / Bloc Québécois_Femmes,Bloc Québécois_Another gender / Bloc Québécois_Autre genre,Bloc Québécois_Unknown / Bloc Québécois_Inconnu,New Democratic Party_Male / Nouveau Parti démocratique_Hommes,New Democratic Party_Female / Nouveau Parti démocratique_Femmes,New Democratic Party_Another gender / Nouveau Parti démocratique_Autre genre,New Democratic Party_Unknown / Nouveau Parti démocratique_Inconnu,Green Party of Canada_Male / Le Parti Vert du Canada_Hommes,Green Party of Canada_Female / Le Parti Vert du Canada_Femmes,Green Party of Canada_Another gender / Le Parti Vert du Canada_Autre genre,Green Party of Canada_Unknown / Le Parti Vert du Canada_Inconnu,Others_Male / Autres_Hommes,Others_Female / Autres_Femmes,Others_Another gender / Autres_Autre genre,Others_Unknown / Autres_Inconnu,Total_Male / Total_Hommes,Total_Female / Total_Femmes,Total_Another gender / Total_Autre genre,Total_Unknown / Total_Inconnu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
"Prince Edward Island/Île-du-Prince-Édouard",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Nova Scotia/Nouvelle-Écosse",7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
"New Brunswick/Nouveau-Brunswick",4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
"Quebec/Québec",20,15,0,0,9,1,0,0,20,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,49,27,0,2
"Ontario",45,33,0,0,28,9,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,77,44,0,0
"Manitoba",4,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,10,4,0,0
"Saskatchewan",0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0
"Alberta",2,0,0,0,25,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,28,5,0,1
"British Columbia/Colombie-Britannique",12,3,0,0,11,2,0,0,0,0,0,0,8,5,0,0,0,1,0,0,0,0,0,0,31,11,0,0
"Yukon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Northwest Territories/Territoires du Nord-Ouest",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nunavut",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
