Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",10,0,0,0,0,10
"Bloc Québécois/Bloc Québécois",6,11,20,14,27,78
"Canada's Fourth Front/Quatrième front du Canada",2,0,0,0,0,2
"Canadian Nationalist Party/Parti Nationaliste Canadien",1,0,0,0,0,1
"Centrist Party of Canada/Parti Centriste du Canada",4,0,0,0,0,4
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",25,0,0,0,0,25
"Communist Party of Canada/Parti communiste du Canada",26,0,0,0,0,26
"Conservative Party of Canada/Parti conservateur du Canada",19,63,69,67,119,337
"Free Party Canada/Parti Libre Canada",59,0,0,0,0,59
"Green Party of Canada/Le Parti Vert du Canada",246,3,1,2,0,252
"Liberal Party of Canada/Parti libéral du Canada",23,54,71,64,126,338
"Libertarian Party of Canada/Parti Libertarien du Canada",13,0,0,0,0,13
"Marijuana Party/Parti Marijuana",9,0,0,0,0,9
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",36,0,0,0,0,36
"Maverick Party/Maverick Party",29,0,0,0,0,29
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",4,0,0,0,0,4
"New Democratic Party/Nouveau Parti démocratique",77,160,54,25,22,338
"Parti Patriote/Parti Patriote",2,0,0,0,0,2
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",10,0,0,0,0,10
"Parti Rhinocéros Party/Parti Rhinocéros Party",27,0,0,0,0,27
"People's Party of Canada/Parti populaire du Canada",289,22,1,0,0,312
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",7,0,0,0,0,7
"Independent/Indépendant(e)",85,2,0,0,0,87
"No Affiliation/Aucune appartenance",4,0,0,0,0,4
