RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Dennis Brown","Retired/Retraité","Avalon","10001","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bay Roberts"
"Irene Joy Hodder","Accounting Clerk/Comptable","Bonavista--Burin--Trinity","10002","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Marystown"
"Marilyn J. Puddicombe","Retired/Retraitée","Coast of Bays--Central--Notre Dame","10003","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Gander"
"Andrea Northcott","Computer Support/Soutien informatique","Labrador","10004","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador City"
"Lary Wells*","Retired/Retraité","Long Range Mountains","10005","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Corner Brook"
"Karen Marie Linfield","Retired/Retraitée","St. John's East/St. John's-Est","10006","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Torbay"
"James William Ryan","Retired Federal Civil Servant/Fonctionnaire fédéral Retraité","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Mount Pearl"
"Mary Elizabeth Dyck","Retired/Retraitée","Cardigan","11001","Prince Edward Island/Île-du-Prince-Édouard","Montague"
"Douglas Bowes Deacon","Retired/Retraité","Charlottetown","11002","Prince Edward Island/Île-du-Prince-Édouard","Charlottetown"
"Karen Gallant","Manager/Gestionnaire","Egmont","11003","Prince Edward Island/Île-du-Prince-Édouard","Abram-Village"
"Maureen Pendergast","Retired Journalist/Journaliste Retraitée","Malpeque","11004","Prince Edward Island/Île-du-Prince-Édouard","Darnley"
"J. Cotter Oliver","Salesman/Représentant","Cape Breton--Canso","12001","Nova Scotia/Nouvelle-Écosse","Reserve Mines"
"Dwayne MacDonald","Truck Driver/Chauffeur de camion","Central Nova/Nova-Centre","12002","Nova Scotia/Nouvelle-Écosse","Stellarton"
"Darlene Delma MacKay","Office Manager/Gestionnaire de bureau","Cumberland--Colchester","12003","Nova Scotia/Nouvelle-Écosse","Truro"
"Pat Charles McCluskey","Self-employed/Travailleur autonome","Dartmouth--Cole Harbour","12004","Nova Scotia/Nouvelle-Écosse","Dartmouth"
"Bonnie E. Boyd-Read","Retired/Retraitée","Halifax","12005","Nova Scotia/Nouvelle-Écosse","Halifax"
"John S. Loch","Semi-retired/Semi-retraité","Halifax West/Halifax-Ouest","12006","Nova Scotia/Nouvelle-Écosse","Bedford"
"Jake Rideout","Self-employed/Travailleur autonome","Kings--Hants","12007","Nova Scotia/Nouvelle-Écosse","Kentville"
"Glenn MacDougall","Business Owner/Propriétaire d'entreprise","Sackville--Preston--Chezzetcook","12008","Nova Scotia/Nouvelle-Écosse","Lower Sackville"
"Douglas J. Rideout","Retired/Retraité","South Shore--St. Margarets","12009","Nova Scotia/Nouvelle-Écosse","Upper Tantallon"
"Peter Bernard Mombourquette","Retired/Retraité","Sydney--Victoria","12010","Nova Scotia/Nouvelle-Écosse","Sydney"
"Rose-Aline Gawn","Bookkeeper/Comptable","West Nova/Nova-Ouest","12011","Nova Scotia/Nouvelle-Écosse","Meteghan"
"Réjean Arseneault","Retired/Retraité","Acadie--Bathurst","13001","New Brunswick/Nouveau-Brunswick","Saint-Isidore"
"Anita Léger-MacDonald","Self employed - Retired/Travailleuse autonome - Retraitée","Beauséjour","13002","New Brunswick/Nouveau-Brunswick","Shediac"
"C. David Desjardins","Executive Director/Directeur général","Fredericton","13003","New Brunswick/Nouveau-Brunswick","New Maryland"
"Joanne Marie Nice","Retired/Retraitée","Fundy Royal","13004","New Brunswick/Nouveau-Brunswick","Quispamsis"
"Guy Ouellette","Retired/Retraité","Madawaska--Restigouche","13005","New Brunswick/Nouveau-Brunswick","Saint-François de Madawaska"
"Norman W. Brown","Semi-retired Bus Driver/Chauffeur d'autobus semi-retraité","Miramichi--Grand Lake","13006","New Brunswick/Nouveau-Brunswick","Miramichi"
"George N. Duff*","Retired/Retraité","Moncton--Riverview--Dieppe","13007","New Brunswick/Nouveau-Brunswick","Moncton"
"R. Anthony (Tony) Whittaker","Retired/Retraité","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","13008","New Brunswick/Nouveau-Brunswick","St. Stephen"
"Terry Totten","Retired Accountant/Comptable Retraité","Saint John--Rothesay","13009","New Brunswick/Nouveau-Brunswick","Saint John"
"Anne Turcotte","Retired/Retraitée","Tobique--Mactaquac","13010","New Brunswick/Nouveau-Brunswick","Grand Falls"
"Madeleine Robillard","Boarding Attendant (Aircraft) for Northern Workers/Préposée au comptoir d'embarquement (avion) pour les travailleurs-du-Nord","Abitibi--Baie-James--Nunavik--Eeyou","24001","Quebec/Québec","Val-d'Or"
"Denis Bédard","Retired/Retraité","Abitibi--Témiscamingue","24002","Quebec/Québec","Macamic"
"Jean-Guy Théorêt","Retired/Retraité","Ahuntsic-Cartierville","24003","Quebec/Québec","Montréal"
"Yves Bonin","Consultant/Consultant","Alfred-Pellan","24004","Quebec/Québec","Laval"
"Pierre Brunet","Retired/Retraité","Argenteuil--La Petite-Nation","24005","Quebec/Québec","Lachute"
"Bertrand Bernier","Retired/Retraité","Avignon--La Mitis--Matane--Matapédia","24006","Quebec/Québec","Matane"
"Lise Lefebvre","Retired/Retraitée","Beauce","24007","Quebec/Québec","Sainte-Marie"
"Daniel Parent","Retired/Retraité","Beauport--Limoilou","24008","Quebec/Québec","Québec"
"Marcel Vézina","Retired/Retraité","Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","24020","Quebec/Québec","Château-Richer"
"Michel Longval","Insurance Broker/Courtier en assurance","Bécancour--Nicolet--Saurel","24009","Quebec/Québec","Bécancour"
"Richard Poulin","Retired/Retraité","Bellechasse--Les Etchemins--Lévis","24010","Quebec/Québec","Lac-Etchemin"
"Claude D. Fagnant","Director/Directeur","Beloeil--Chambly","24011","Quebec/Québec","Mont-Saint-Hilaire"
"Jean Provencher","Retired Engineer/Ingénieur Retraité","Berthier--Maskinongé","24012","Quebec/Québec","Saint-Boniface"
"Danielle Jomphe","Trainer/Formatrice","Bourassa","24015","Quebec/Québec","Montréal"
"Marie-Josée Potvin","Farmer/Agricultrice","Brome--Missisquoi","24016","Quebec/Québec","Dunham"
"Martine Bélanger*","Quebec District Director for the MCA/Directrice de district pour le Québec chez MCA","Brossard--Saint-Lambert","24017","Quebec/Québec","Brossard"
"Jean-Pierre Daigle*","Retired/Retraité","Charlesbourg--Haute-Saint-Charles","24019","Quebec/Québec","Lac-Beauport"
"François Candau","Supervisor, Public Works/Superviseur, Travaux publics","Châteauguay--Lacolle","24021","Quebec/Québec","Sainte-Martine"
"Claude Gaudreault","Lawyer/Avocat","Chicoutimi--Le Fjord","24022","Quebec/Québec","Chicoutimi"
"Marco Desmarais","Manager/Gestionnaire","Compton--Stanstead","24023","Quebec/Québec","Sherbrooke"
"Jean-Claude Ménard","Annuitant/Rentier","Dorval--Lachine--LaSalle","24024","Quebec/Québec","Lachine"
"Andrée Desautels","Administrative Assistant/Adjointe administrative","Drummond","24025","Quebec/Québec","Drummondville"
"Catherine McInnis*","/Preposé a domicile","Gaspésie--Les Îles-de-la-Madeleine","24026","Quebec/Québec","Gaspé"
"Christian Marleau*","Retired/Retraité","Gatineau","24027","Quebec/Québec","Gatineau"
"Éric Fournier","CEO of Teleferic Inc./DGE de Teleferic inc.","Hochelaga","24028","Quebec/Québec","Montréal"
"Marguerite Sicari","Office Clerk/commis de bureau","Honoré-Mercier","24029","Quebec/Québec","Montréal"
"Daniel Lafleur","Retired/Retraité","Hull--Aylmer","24030","Quebec/Québec","Gatineau"
"Robert Beauséjour","Retired School Principal/Directeur d'école retraité","Joliette","24031","Quebec/Québec","Saint-Charles-Borromée"
"Marc Pomerleau","Consultant/Consultant","Jonquière","24032","Quebec/Québec","Jonquière"
"Bernard Lauzon","Retired/Retraité","La Pointe-de-l'Île","24033","Quebec/Québec","Montréal"
"Claude Jolin","Manager/Gestionnaire","La Prairie","24034","Quebec/Québec","Candiac"
