Animal,AnimalPP2005
Animal Protection Party,AnimalPP2005
Parti Protection Animaux,AnimalPP2005
Le Parti pour la Protection des Animaux du Canada,AnimalPP2005
Animal Alliance Environment Voters Party of Canada,AnimalPP2005
Animal Protection Party of Canada,AnimalPP2005
Animal Alliance Environment Voters Party of Canada,AnimalPP2005
Bloc Québécois,Bloc
Bloc,Bloc
Green Party of Canada,Green
Green Party,Green
Le Parti Vert du Canada,Green
Parti Vert,Green
Green,Green
Nouveau Parti démocratique,NDP
NPD-Nouveau Parti démocratique,NDP
NDP,NDP
New Democratic Party,NDP
NDP-New Democratic Party,NDP
Canadian Future Party,CFuture2024
Parti Avenir Canadien,CFuture2024
Centrist Party of Canada,Centrist2021
Centrist,Centrist2021
Parti Centriste du Canada,Centrist2021
Centriste,Centrist2021
Communist Party of Canada,Communist2000
Communist,Communist2000
Parti communiste du Canada,Communist2000
Communiste,Communist2000
Conservative Party of Canada,Conservative
Conservative,Conservative
Parti conservateur du Canada,Conservative
Conservateur,Conservative
CPC,Conservative
Christian Heritage Party of Canada,ChristianHP2004
Christian Heritage Party,ChristianHP2004
CHP,ChristianHP2004
Parti de l'Héritage Chrétien du Canada,ChristianHP2004
Parti de l'Héritage Chrétien,ChristianHP2004
Liberal,Liberal
Liberal Party of Canada,Liberal
Parti libéral du Canada,Liberal
Libéral,Liberal
Libertarian,Libertarian2004
Libertarien,Libertarian2004
Parti Libertarien du Canada,Libertarian2004
Libertarian Party of Canada,Libertarian2004
Parti Marijuana,Marijuana2000
Parti Marijuana,Marijuana2000
Marijuana Party,Marijuana2000
Marijuana Party,Marijuana2000
Marxist-Leninist Party of Canada,MarxistLeninist1993
Marxist-Leninist,MarxistLeninist1993
Parti Marxiste-Léniniste du Canada,MarxistLeninist1993
Marxiste-Léniniste,MarxistLeninist1993
People's Party of Canada,PeoplesP2019
People's Party - PPC,PeoplesP2019
Parti populaire du Canada,PeoplesP2019
Parti populaire - PPC,PeoplesP2019
Parti Rhinocéros Party,Rhinoceros2007
Rhinoceros,Rhinoceros2007
United Party of Canada,UnitedPC2024
United Party of Canada (UP),UnitedPC2024
Parti Uni du Canada,UnitedPC2024
Parti Uni du Canada (UP),UnitedPC2024
Stop Climate Change,StopClimateC2019
Arrêtons le changement climatique,StopClimateC2019
Arrêtonslechangementclimatique,StopClimateC2019
Alliance of the North,ANorth2015
Alliance du Nord,ANorth2015
ATN,ANorth2015
ADN,ANorth2015
National Citizens Alliance of Canada,NCitizensA2019
National Citizens Alliance,NCitizensA2019
Alliance Nationale des Citoyens du Canada,NCitizensA2019
Alliance Nationale Citoyens,NCitizensA2019
First Peoples National Party of Canada,FirstPeoplesNPC2005
FPNP,FirstPeoplesNPC2005
Forces et Démocratie,ForcesDemocratie2015
Maverick Party,Maverick2021
Newfoundland and Labrador First Party,NLFirst2008
NL First Party,NLFirst2008
Canadian Action Party,CAction1997
CAP,CAction1997
Parti action canadienne,CAction1997
PAC,CAction1997
Canada Party,Canada2015
Parti Canada,Canada2015
Direct Democracy Party of Canada,DirectDemocracy2019
Direct Democracy,DirectDemocracy2019
Parti Démocratie directe du Canada,DirectDemocracy2019
Démocratie directe,DirectDemocracy2019
Veterans Coalition Party of Canada,VeteransC2019
VCP,VeteransC2019
Parti de la coalition des anciens combattants du Canada,VeteransC2019
CAC,VeteransC2019
Natural Law Party of Canada,NaturalLaw1993
Natural Law Party,NaturalLaw1993
Parti de la loi naturelle du Canada,NaturalLaw1993
Parti de la loi naturelle,NaturalLaw1993
National Advancement Party of Canada,NAdvancement2015
National Advancement,NAdvancement2015
Parti de l'Essor National du Canada,NAdvancement2015
Essor National,NAdvancement2015
Seniors Party of Canada,Seniors2015
Seniors Party,Seniors2015
Parti des aînés du Canada,Seniors2015
Parti des aînés,Seniors2015
Parti Libre Canada,Free2020
Free Party Canada,Free2020
Canadian Nationalist Party,CNationalist2019
Nationalist,CNationalist2019
Parti Nationaliste Canadien,CNationalist2019
Nationaliste,CNationalist2019
Parti Patriote,Patriote2021
Pirate Party of Canada,Pirate2010
Parti Pirate du Canada,Pirate2010
Pirate,Pirate2010
Parti pour l'Indépendance du Québec,IndependanceQuebec2019
Pour l'Indépendance du Québec,IndependanceQuebec2019
"Party for Accountability, Competency and Transparency",Accountability2012
PACT,Accountability2012
"Parti pour la Responsabilisation, la Compétence et la Transparence",Accountability2012
PRCT,Accountability2012
The Bridge Party of Canada,Bridge2015
The Bridge,Bridge2015
Parti pour nouer des liens entre Canadiens,Bridge2015
Le Lien,Bridge2015
Progressive Canadian Party,ProgressiveCanadian2004
PC Party,ProgressiveCanadian2004
Parti Progressiste Canadien,ProgressiveCanadian2004
Parti PC,ProgressiveCanadian2004
The United Party of Canada,United2019
UPC,United2019
Parti Uni du Canada,United2019
UPC,United2019
United Party of Canada,United2010
United Party,United2010
Parti Uni du Canada,United2010
Parti Uni,United2010
People's Political Power Party of Canada,PoliticalPower2008
Pouvoir Politique du Peuple du Canada,PoliticalPower2008
PPP,PoliticalPower2008
Work Less Party,WorkLess2008
Western Block Party,WesternBlock2005
WBP,WesternBlock2005
Independent,Independent
No Affiliation,Independent
Indépendant(e),Independent
Aucune appartenance,Independent
PAC,CFuture2024
CFP,CFuture2024
